molecule_id,generation_mode,parent_id,isomeric_SMILES,SMILES,predicted_activity,predictive_uncertainty,applicability_domain,novelty,similarity_to_train_max,similarity_to_active_max,confidence_class,information_gain_score,synthetic_accessibility_score,stereocenter_count,defined_stereocenter_count,undefined_stereocenter_count,ring_count,rotatable_bonds,stereochemical_complexity,route_status,route_note,synthetic_feasibility_class,solubility_logS_esol_proxy,solubility_class,caco_permeability_proxy,plasma_protein_binding_proxy,lipophilicity_logP,metabolic_stability_proxy,oral_absorption_proxy,evidence_level_x,reactive_alert_matches,n_reactive_alerts,pains_alert_matches,brenk_alert_matches,hERG_basic_amine_lipophilic_flag,ascorbate_redox_profile_note,systemic_toxicity_class,evidence_level_y,ototoxic_alert_matches,hair_cell_risk,mitochondrial_risk,oxidative_risk,ion_channel_risk,local_exposure,retention,local_cochlear_safety_class,evidence_level,delivery_strategy,systemic_exposure_likelihood,BLB_compatibility,RWM_compatibility,perilymph_access_likelihood,endolymph_access_likelihood,OHC_uptake_likelihood,cochlear_retention_likelihood,local_exposure_likelihood,ascorbate_SVCT_hypothesis,delivery_confidence,delivery_evidence_level,selectivity_status,selectivity_uncertainty,nAChR_subtype_evidence,alpha7_check,alpha4beta2_check,Level2_offtarget_proxy,portfolio_tier,portfolio_group,hypothesis_linked
REV-LOCAL_ANALOG-17431,reinvent_local_analog,,N#Cc1ccc(CCC(=O)NC[C@H](O)C(=O)O)cc1,N#Cc1ccc(CCC(=O)NC[C@H](O)C(=O)O)cc1,0.395,0.4889,OUT_OF_DOMAIN,0.8413,0.1587,0.1587,LOW,0.395,2.475,1,1,0,1,6,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-1.337,HIGH,MODERATE,LOW,0.05,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC ORAL,HIGH,HIGH,MODERATE,MODERATE,UNKNOWN,UNKNOWN,LOW,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-17618,reinvent_local_analog,,C#CCOc1ccccc1/C=C/C(=O)Nc1ccc(C(=O)NCCNC(=O)OC(C)(C)C)cc1,C#CCOc1ccccc1/C=C/C(=O)Nc1ccc(C(=O)NCCNC(=O)OC(C)(C)C)cc1,0.375,0.4841,OUT_OF_DOMAIN,0.8193,0.1807,0.1807,LOW,0.375,2.408,0,0,0,2,9,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-4.652,MODERATE,MODERATE,MODERATE,3.61,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,Aliphatic_long_chain; Michael_acceptor_1; triple_bond,False,False,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),EXCLUDE_OR_HOLD,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-17683,reinvent_local_analog,,O=C(C=Cc1ccc(OC[C@@H](O)CO)c(OCc2ccccc2)c1)OC[C@@H](CO[C@H](O)CO)[C@@H](O)NO,O=C(C=Cc1ccc(OC[C@@H](O)CO)c(OCc2ccccc2)c1)OC[C@@H](CO[C@H](O)CO)[C@@H](O)NO,0.385,0.4866,OUT_OF_DOMAIN,0.7403,0.2597,0.2597,LOW,0.385,4.117,4,4,0,2,17,high,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",MODERATE,-2.075,HIGH,LOW,LOW,-0.21,LOW,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,Michael_acceptor_1; Oxygen-nitrogen_single_bond; het-C-het_not_in_ring,False,False,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,LOW,LOW,UNKNOWN,UNKNOWN,LOW,LOW,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),EXCLUDE_OR_HOLD,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-18337,reinvent_local_analog,,O=C(NC[C@H](O)c1ccc(O)cc1)c1c(F)cccc1-c1ccccc1,O=C(NC[C@H](O)c1ccc(O)cc1)c1c(F)cccc1-c1ccccc1,0.44,0.4964,OUT_OF_DOMAIN,0.7656,0.2344,0.2344,LOW,0.44,2.423,1,1,0,3,5,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-4.508,MODERATE,HIGH,MODERATE,3.66,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-18613,reinvent_local_analog,,CC(C)(O)C#Cc1occc1C(=O)N[C@H](CO)[C@@H](O)CCO,CC(C)(O)C#Cc1occc1C(=O)N[C@H](CO)[C@@H](O)CCO,0.405,0.4909,OUT_OF_DOMAIN,0.8065,0.1935,0.1864,LOW,0.405,3.967,2,2,0,1,6,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-1.061,HIGH,MODERATE,LOW,-0.76,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,triple_bond,False,False,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC ORAL,HIGH,HIGH,MODERATE,MODERATE,UNKNOWN,UNKNOWN,LOW,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-LOCAL_ANALOG-18868,reinvent_local_analog,,C#C[C@@H](COC(=O)NCc1scc(C(=O)Nc2ccc3ccccc3c2)c1I)OC(=O)OCc1ccccc1,C#C[C@@H](COC(=O)NCc1scc(C(=O)Nc2ccc3ccccc3c2)c1I)OC(=O)OCc1ccccc1,0.39,0.4877,OUT_OF_DOMAIN,0.8161,0.1839,0.1839,LOW,0.39,3.444,1,1,0,4,9,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-7.696,LOW,MODERATE,HIGH,6.34,LOW,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,iodine; triple_bond,False,False,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,EXPERIMENTAL,MODERATE,LOW,LOW,LOW,UNKNOWN,UNKNOWN,HIGH,LOW,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-SCAFFOLD_HOPPING-22933,reinvent_scaffold_hopping,,CC(CCC(=O)Nc1ccc(COc2ccccc2)cc1)NC(=O)c1ncn[nH]1,CC(CCC(=O)Nc1ccc(COc2ccccc2)cc1)NC(=O)c1ncn[nH]1,0.365,0.4814,OUT_OF_DOMAIN,0.7671,0.2329,0.2329,LOW,0.365,2.626,1,0,1,3,9,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-3.959,HIGH,MODERATE,MODERATE,2.92,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,MODERATE,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-SCAFFOLD_HOPPING-23539,reinvent_scaffold_hopping,,O=C(NCc1cccnc1)c1ccc(C(=O)N(C(=O)Cn2cc(Cl)cn2)c2ccccc2)cc1,O=C(NCc1cccnc1)c1ccc(C(=O)N(C(=O)Cn2cc(Cl)cn2)c2ccccc2)cc1,0.375,0.4841,OUT_OF_DOMAIN,0.8205,0.1795,0.1795,LOW,0.375,2.422,0,0,0,4,7,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-5.17,MODERATE,MODERATE,MODERATE,3.74,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-SCAFFOLD_HOPPING-24354,reinvent_scaffold_hopping,,N#Cc1ccccc1NC(=O)c1nc2ccccc2c(=O)n1-c1ccccc1,N#Cc1ccccc1NC(=O)c1nc2ccccc2c(=O)n1-c1ccccc1,0.365,0.4814,OUT_OF_DOMAIN,0.8261,0.1739,0.1739,LOW,0.365,2.129,0,0,0,4,3,low,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-4.706,MODERATE,HIGH,MODERATE,3.51,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,HIGH,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-TAF_DISRUPTING-25611,reinvent_taf_disrupting,,CNc1cccc(C(C)NCc2ccn[nH]2)c1,CNc1cccc(C(C)NCc2ccn[nH]2)c1,0.365,0.4814,OUT_OF_DOMAIN,0.8772,0.1228,0.1228,LOW,0.365,2.781,1,0,1,2,5,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-2.867,HIGH,HIGH,LOW,2.3,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC ORAL,HIGH,HIGH,MODERATE,MODERATE,UNKNOWN,UNKNOWN,MODERATE,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-TAF_DISRUPTING-25873,reinvent_taf_disrupting,,NC(=O)[C@H](Cc1ccc(N)cc1)NC(=O)c1ccc(C(O)c2c[nH]c3ccccc23)cn1,NC(=O)[C@H](Cc1ccc(N)cc1)NC(=O)c1ccc(C(O)c2c[nH]c3ccccc23)cn1,0.375,0.4841,OUT_OF_DOMAIN,0.8395,0.1605,0.1605,LOW,0.375,3.138,2,1,1,4,7,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-3.82,HIGH,LOW,LOW,2.05,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,aniline; aromatic_amine,2,anil_no_alk(40),aniline,False,False,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,aromatic_amine,MODERATE,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,LOW,LOW,UNKNOWN,UNKNOWN,MODERATE,LOW,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),EXCLUDE_OR_HOLD,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-TAF_DISRUPTING-27072,reinvent_taf_disrupting,,CC(=O)OCc1cc(C[C@H](N)C(=O)O)ccc1O,CC(=O)OCc1cc(C[C@H](N)C(=O)O)ccc1O,0.39,0.4877,OUT_OF_DOMAIN,0.7833,0.2167,0.2167,LOW,0.39,2.582,1,1,0,1,5,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-1.585,HIGH,MODERATE,LOW,0.41,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC ORAL,HIGH,HIGH,MODERATE,MODERATE,UNKNOWN,UNKNOWN,LOW,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-TAF_DISRUPTING-30123,reinvent_taf_disrupting,,C[C@@H](O)[C@H](NC(=O)c1cccc(C2CCNCC2)n1)C(=O)Nc1cccc(O)c1,C[C@@H](O)[C@H](NC(=O)c1cccc(C2CCNCC2)n1)C(=O)Nc1cccc(O)c1,0.38,0.4854,OUT_OF_DOMAIN,0.8481,0.1519,0.1519,LOW,0.38,3.149,2,2,0,3,6,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-3.085,HIGH,MODERATE,LOW,1.37,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC IV,HIGH,MODERATE,MODERATE,MODERATE,UNKNOWN,UNKNOWN,LOW,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-TAF_DISRUPTING-30717,reinvent_taf_disrupting,,C[C@@H](NC(=O)c1cc2cc(O)c(O)cc2[nH]c1=O)c1ccccc1,C[C@@H](NC(=O)c1cc2cc(O)c(O)cc2[nH]c1=O)c1ccccc1,0.385,0.4866,OUT_OF_DOMAIN,0.8,0.2,0.2,LOW,0.385,2.565,1,1,0,3,3,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-3.677,HIGH,MODERATE,LOW,2.43,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,0,catechol_A(92),catechol,False,False,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,SYSTEMIC ORAL,HIGH,HIGH,MODERATE,MODERATE,UNKNOWN,UNKNOWN,MODERATE,MODERATE,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
REV-TAF_DISRUPTING-31092,reinvent_taf_disrupting,,Oc1cccc(CN2CCN(Cc3ccccn3)[C@@H]([C@H](O)Cc3ccccc3)C2)c1,Oc1cccc(CN2CCN(Cc3ccccn3)[C@@H]([C@H](O)Cc3ccccc3)C2)c1,0.38,0.4854,OUT_OF_DOMAIN,0.7429,0.2571,0.2571,LOW,0.38,3.084,2,2,0,4,7,moderate,NOT_AVAILABLE,"AIZynthFinder route prediction not run (USPTO models absent); SAScore is a prioritization proxy, not a validated synthesis plan.",FAVORABLE,-4.262,MODERATE,HIGH,MODERATE,3.08,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,,0,,,False,False,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,,LOW,UNKNOWN,LOW,UNKNOWN,UNKNOWN,UNKNOWN,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,INTRATYMPANIC / ROUND-WINDOW,HIGH,MODERATE,HIGH,HIGH,UNKNOWN,UNKNOWN,HIGH,HIGH,NOT_APPLICABLE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,UNKNOWN,HIGH,NOT_AVAILABLE,NOT_EVALUABLE,NOT_EVALUABLE,See systemic_toxicity screen (hERG/structure alerts),Tier2_mechanistically_informative,E_information_gain,Near the frozen-model decision boundary; discriminates competing SAR/stereo hypotheses (MASTER_PROMPT sect. 51).
