molecule_id,isomeric_SMILES,stereochemistry,parent_id,generation_mode,generation_objective,generation_model,generation_seed,experimental_parent,predicted_potency,potency_uncertainty,applicability_domain,novelty,synthetic_feasibility,cochlear_delivery,systemic_ADME,systemic_toxicity,local_cochlear_safety,selectivity,selectivity_uncertainty,information_gain,portfolio_tier,confidence,risk_flags,selection_rationale,experimental_status,created_at
REV-SCAFFOLD_HOPPING-19285,Cl[C@H]1[C@@H]2CC[C@H](C2)C[C@H]1Cn1ccnn1,UNDEFINED_OR_NA,,reinvent_scaffold_hopping,SCAFFOLD_HOP,REINVENT4,42,,0.135,0.3417,OUT_OF_DOMAIN,0.9275,MODERATE,INTRATYMPANIC / ROUND-WINDOW,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.135,Tier3_exploratory,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_scaffold_hopping; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-27451,CO[C@@H]1COC[C@@H](O)C1Nc1cccc(Oc2ccc3c(c2)N(C)CCO3)c1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.145,0.3521,OUT_OF_DOMAIN,0.859,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,LOW,MODERATE,UNKNOWN,HIGH,0.145,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-26112,C=CCCCCC1=CC=CC=PO1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.175,0.38,OUT_OF_DOMAIN,0.8793,MODERATE,SYSTEMIC IV,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.175,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-26437,Brc1noc(C2CCCS2)n1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.18,0.3842,OUT_OF_DOMAIN,0.8939,MODERATE,INTRATYMPANIC / ROUND-WINDOW,HIGH,LOW,LOW,UNKNOWN,HIGH,0.18,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-DE_NOVO-1430,CC(C)[C@H](NC(=O)CNC(=O)OC(C)(C)C)C(=O)N[C@H](CCCN=C(N)N)C(=O)NC/C(C=NCC(N)NC(=O)CCOCCOCCOCCOCCNC(=O)OC(C)(C)C)=C/N,UNDEFINED_OR_NA,,reinvent_de_novo,DIVERSE_NOVEL_CHEMOTYPE,REINVENT4,42,,0.18,0.3842,OUT_OF_DOMAIN,0.9238,MODERATE,SYSTEMIC IV,HIGH,HIGH,MODERATE,UNKNOWN,HIGH,0.18,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_de_novo; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-INFORMATION_GAIN-7233,C/C=C/C=C/C(=O)N1C(=O)O[C@H]2O[C@H](C)O[C@@H](C)[C@@H]21,UNDEFINED_OR_NA,,reinvent_information_gain,INFORMATION_GAIN_PROBE,REINVENT4,42,,0.2,0.4,OUT_OF_DOMAIN,0.8545,MODERATE,INTRATYMPANIC / ROUND-WINDOW,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.2,Tier2_mechanistically_informative,LOW,OUT_OF_DOMAIN,generation=reinvent_information_gain; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier2_mechanistically_informative,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-25809,CCCCN(CCC)c1ncc(Br)cc1C,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.175,0.38,OUT_OF_DOMAIN,0.8448,FAVORABLE,EXPERIMENTAL,MODERATE,HIGH,LOW,UNKNOWN,HIGH,0.175,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-SCAFFOLD_HOPPING-21957,FC=CCCNN=C1CCCCCC1,UNDEFINED_OR_NA,,reinvent_scaffold_hopping,SCAFFOLD_HOP,REINVENT4,42,,0.16,0.3666,OUT_OF_DOMAIN,0.9254,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.16,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_scaffold_hopping; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-DE_NOVO-59,CC(=O)c1sc(NC(=S)NC(=O)C(C)(C)C)c(C(=O)O)c1C,UNDEFINED_OR_NA,,reinvent_de_novo,DIVERSE_NOVEL_CHEMOTYPE,REINVENT4,42,,0.23,0.4208,OUT_OF_DOMAIN,0.9054,FAVORABLE,SYSTEMIC IV,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.23,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_de_novo; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-30572,O=c1cc(CSc2cc(Cl)c(Cl)cc2Cl)occ1O,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.24,0.4271,OUT_OF_DOMAIN,0.8654,FAVORABLE,EXPERIMENTAL,MODERATE,MODERATE,LOW,UNKNOWN,HIGH,0.24,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-25845,NCC(O)(CO)CC(O)CO,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.25,0.433,OUT_OF_DOMAIN,0.8205,MODERATE,SYSTEMIC IV,HIGH,LOW,LOW,UNKNOWN,HIGH,0.25,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-25197,CC(C)C1C2CC3CC(C)C1C32,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.135,0.3417,OUT_OF_DOMAIN,0.9138,MODERATE,INTRATYMPANIC / ROUND-WINDOW,HIGH,LOW,LOW,UNKNOWN,HIGH,0.135,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-25673,CSc1nnc(SC#N)s1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.22,0.4142,OUT_OF_DOMAIN,0.9107,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.22,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-28846,O=c1oc2ccccc2c2ncnc(N/N=C/c3ccccc3F)c12,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.21,0.4073,OUT_OF_DOMAIN,0.88,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,MODERATE,HIGH,LOW,UNKNOWN,HIGH,0.21,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-INFORMATION_GAIN-9763,BrC(Br)=C(Br)Br,UNDEFINED_OR_NA,,reinvent_information_gain,INFORMATION_GAIN_PROBE,REINVENT4,42,,0.22,0.4142,OUT_OF_DOMAIN,0.931,FAVORABLE,SYSTEMIC IV,MODERATE,LOW,LOW,UNKNOWN,HIGH,0.22,Tier2_mechanistically_informative,LOW,OUT_OF_DOMAIN,generation=reinvent_information_gain; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier2_mechanistically_informative,untested,2026-09-15T01:50:10Z
REV-INFORMATION_GAIN-9095,C=NOCOCOOO,UNDEFINED_OR_NA,,reinvent_information_gain,INFORMATION_GAIN_PROBE,REINVENT4,42,,0.19,0.3923,OUT_OF_DOMAIN,0.9216,MODERATE,SYSTEMIC ORAL,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.19,EXCLUDE_OR_HOLD,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_information_gain; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-DE_NOVO-661,[B]c1ccc(C(C)C)c(-c2cc(CC(C)C)nc(C)c2-c2nc3ccc(C)cc3n2C2B(F)NB[B]OC2=O)c1,UNDEFINED_OR_NA,,reinvent_de_novo,DIVERSE_NOVEL_CHEMOTYPE,REINVENT4,42,,0.215,0.4108,OUT_OF_DOMAIN,0.901,MODERATE,EXPERIMENTAL,MODERATE,HIGH,LOW,UNKNOWN,HIGH,0.215,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_de_novo; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-INFORMATION_GAIN-11004,O=CCOC(=O)OOC(=O)CCl,UNDEFINED_OR_NA,,reinvent_information_gain,INFORMATION_GAIN_PROBE,REINVENT4,42,,0.19,0.3923,OUT_OF_DOMAIN,0.8868,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.19,EXCLUDE_OR_HOLD,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_information_gain; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-LOCAL_ANALOG-13061,CC#C[C@]1(C)[C@@H](OB(O)O)[C@@H]2CC[C@H]1C2(C)C,UNDEFINED_OR_NA,,reinvent_local_analog,ASCORBATE_SERIES_ANALOG,REINVENT4,42,,0.13,0.3363,OUT_OF_DOMAIN,0.875,MODERATE,INTRATYMPANIC / ROUND-WINDOW,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.13,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_local_analog; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-SCAFFOLD_HOPPING-20955,C=C1C[C@@]2(C)[C@@H](O)C[C@](C)(O)[C@H]2[C@@]1(CC[C@H]1C(C)(C)CCC[C@@]1(C)C(=O)O)C(=O)O,UNDEFINED_OR_NA,,reinvent_scaffold_hopping,SCAFFOLD_HOP,REINVENT4,42,,0.16,0.3666,OUT_OF_DOMAIN,0.8442,MODERATE,SYSTEMIC IV,MODERATE,MODERATE,LOW,UNKNOWN,HIGH,0.16,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_scaffold_hopping; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-SCAFFOLD_HOPPING-18968,C1=CC2CN(c3ccc(-c4ccc(N(c5ccc(-c6ccccc6)cc5)c5cc6ccccc6c6ccccc56)cc4)cc3)c3ccccc3C2C=C1,UNDEFINED_OR_NA,,reinvent_scaffold_hopping,SCAFFOLD_HOP,REINVENT4,42,,0.225,0.4176,OUT_OF_DOMAIN,0.907,FAVORABLE,EXPERIMENTAL,LOW,HIGH,LOW,UNKNOWN,HIGH,0.225,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_scaffold_hopping; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-LOCAL_ANALOG-12731,CCN1CC(CBr)OC(CN2CCN(C)CC2)C1,UNDEFINED_OR_NA,,reinvent_local_analog,ASCORBATE_SERIES_ANALOG,REINVENT4,42,,0.135,0.3417,OUT_OF_DOMAIN,0.8824,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.135,Tier3_exploratory,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_local_analog; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-LOCAL_ANALOG-13526,Nc1nc(S/C=C/OCC(CCCCO[N+](=O)[O-])O[N+](=O)[O-])n[nH]1,UNDEFINED_OR_NA,,reinvent_local_analog,ASCORBATE_SERIES_ANALOG,REINVENT4,42,,0.175,0.38,OUT_OF_DOMAIN,0.9114,MODERATE,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.175,EXCLUDE_OR_HOLD,LOW,STRUCTURAL_ALERT; OUT_OF_DOMAIN,generation=reinvent_local_analog; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-26037,CC(C)N1CCCN(c2ccc(/C(N)=N/O)nc2)CC1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.205,0.4037,OUT_OF_DOMAIN,0.9091,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,HIGH,LOW,UNKNOWN,HIGH,0.205,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-30652,Cc1ccc([C@H]2Nc3c(C)cccc3NC3=CC[C@H](c4ccccc4)C[C@H]32)cc1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.23,0.4208,OUT_OF_DOMAIN,0.8553,FAVORABLE,EXPERIMENTAL,LOW,HIGH,LOW,UNKNOWN,HIGH,0.23,EXCLUDE_OR_HOLD,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=EXCLUDE_OR_HOLD,untested,2026-09-15T01:50:10Z
REV-INFORMATION_GAIN-12222,CSCCCn1ccc(C=O)c1,UNDEFINED_OR_NA,,reinvent_information_gain,INFORMATION_GAIN_PROBE,REINVENT4,42,,0.195,0.3962,OUT_OF_DOMAIN,0.8983,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.195,Tier2_mechanistically_informative,LOW,OUT_OF_DOMAIN,generation=reinvent_information_gain; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier2_mechanistically_informative,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-29883,Clc1cccnc1Oc1ccccc1-c1nc2ccccc2s1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.185,0.3883,OUT_OF_DOMAIN,0.875,FAVORABLE,EXPERIMENTAL,LOW,LOW,LOW,UNKNOWN,HIGH,0.185,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
REV-TAF_DISRUPTING-29817,NCC#Cc1cc(F)cc(COCCCC(F)(F)F)c1,UNDEFINED_OR_NA,,reinvent_taf_disrupting,ASCORBATE_SCAFFOLD_EXPLORATION,REINVENT4,42,,0.215,0.4108,OUT_OF_DOMAIN,0.9104,FAVORABLE,INTRATYMPANIC / ROUND-WINDOW,HIGH,MODERATE,LOW,UNKNOWN,HIGH,0.215,Tier3_exploratory,LOW,OUT_OF_DOMAIN,generation=reinvent_taf_disrupting; AD=OUT_OF_DOMAIN; confidence=LOW; tier=Tier3_exploratory,untested,2026-09-15T01:50:10Z
