File Name,cleanedMol,classLabel,
12d.mol,Cn1c(-c2cc(-c3c(F)cccc3Cl)no2)cnc1C1(F)CCNCC1,1,
12e.mol,CCn1c(-c2cc(-c3c(F)cccc3Cl)no2)cnc1C1(F)CCNCC1,1,
dfbr.mol,C=CC(C)(C)c1[nH]c2cc(Br)ccc2c1CCNC,1.00,
Com8.mol,C=CC(C)(C)c1[nH]c2ccccc2c1CCN,1.00,
Com9.mol,C=CC(C)(C)c1[nH]c2cc(Br)ccc2c1CCN(C)C,1.00,
Com10.mol,C=CC(C)(C)c1[nH]c2cc(Br)ccc2c1CC[N+](C)(C)C,0.00,
Com11.mol,C=CC(C)(C)c1cc2cc(Br)ccc2n1CCN(C)C,1.00,
Com12.mol,C=CC(C)(C)c1[nH]c2ccccc2c1CN(C)C,0.00,
Com13.mol,C=CC(C)(C)c1[nH]c2ccccc2c1CCCNC,0.00,
Com14.mol,CC1(C)NCCc2c1[nH]c1cc(Br)ccc21,0.00,
Com16.mol,C=CC(C)(C)c1[nH]c2cc(Br)ccc2c1CC(C)N,1.00,
Com17.mol,CCC(C)c1[nH]c2cc(Br)ccc2c1CCNC,1.00,
Com19.mol,CNCCc1c(C2(C)CC2)[nH]c2ccccc12,0.00,
Com18.mol,CNCCc1c(C2CCCC2)[nH]c2cc(Br)ccc12,1.00,
Com20.mol,CNCCc1c(-c2ccccc2)[nH]c2cc(Br)ccc12,0.00,
Com21.mol,C=CC(C)(C)c1c(CCNC)c2ccc(Br)cc2n1C,1.00,
Com22.mol,C=CC(C)(C)c1[nH]c2cc(C)ccc2c1CCNC,1.00,
Com23.mol,C=CC(C)(C)c1[nH]c2cc(C(F)(F)F)ccc2c1CCNC,0.00,
Com24.mol,C=CC(C)(C)c1[nH]c2ccc(Br)cc2c1CCNC,1.00,
Com25.mol,C=CC(C)(C)c1[nH]c2cc(Br)c(Br)cc2c1CCNC,1.00,
Struc2.mol,C=CC(C)(C)c1[nH]c2cc(Br)ccc2c1CCN,1.00,
Struc3.mol,CNCCc1c[nH]c2cc(Br)ccc12,0.00,
Struc4.mol,CCCc1[nH]c2cc(Br)ccc2c1CCNC,0.00,
Struc5.mol,C=CCc1[nH]c2cc(Br)ccc2c1CCNC,0.00,
Struc6.mol,CCC(C)(C)c1[nH]c2cc(Br)ccc2c1CCNC,1.00,
Struc7.mol,C=CC(C)(C)c1[nH]c2ccccc2c1CCNC,1.00,
Struc8.mol,CCC(C)(C)c1[nH]c2ccccc2c1CCNC,1.00,
Struc9.mol,CCC(C)c1[nH]c2ccccc2c1CCNC,0.00,
Struc10.mol,CCCc1[nH]c2ccccc2c1CCNC,0.00,
Struc11.mol,CCC(C)(C)c1[nH]c2ccccc2c1CCNC,1.00,
Struc12.mol,CC(C)c1[nH]c2ccccc2c1CCN,0.00,
NS-1738 (1).mol,O=C(Nc1cc(Cl)ccc1O)Nc1cc(C(F)(F)F)ccc1Cl,0,
TBS-156.mol,NS(=O)(=O)c1ccc(-n2nc(-c3ccc(Br)cc3)nc2Cc2ccccc2)cc1,0,
PNU-120596.mol,COc1cc(OC)c(NC(=O)Nc2cc(C)on2)cc1Cl,0,
PAM-2.mol,Cc1ccc(NC(=O)/C=C/c2ccco2)cc1,0,
PAM-4.mol,O=C(/C=C/c1ccco1)Nc1ccccc1,0,
TQS.mol,NS(=O)(=O)c1ccc2c(c1)C1C=CCC1C(c1cccc3ccccc13)N2,0,
A-867744.mol,CCC(=O)c1cc(-c2ccc(Cl)cc2)n(-c2ccc(S(N)(=O)=O)cc2)c1C,0,
5-hydroxyindole (5-HI).mol,Oc1ccc2[nH]ccc2c1,0,
4.mol,NS(=O)(=O)c1ccc(-c2cc(C(=O)N3CC4CC4C3)nn2-c2ccc(Cl)cc2)cc1,0,
TBS-516.mol,NS(=O)(=O)c1ccc(-n2nc(-c3ccc(Br)cc3)nc2Cc2ccccc2)cc1,0,
3.mol,CCC(=O)c1sc(-c2ccc(Cl)cc2)c(C)c1-c1ccc(S(N)(=O)=O)cc1,0,
LL-00066471.mol,Cc1c(-c2ccc(S(N)(=O)=O)cc2)c(C(=O)CC2CC2)n(C)c1-c1ccc(Cl)cc1,0,
Quercetin.mol,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0,
"5,7-dihydroxy-4-phenylcoumarin.mol",O=c1cc(-c2ccccc2)c2c(O)cc(O)cc2o1,0,
Isoliquirigenin.mol,O=C(C=Cc1ccc(O)cc1)c1ccc(O)cc1O,0,
Curcumin.mol,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,0,
6.mol,O=C(C=Cc1ccc(O)cc1O)c1cc(O)ccc1O,0,
5.mol,O=C(C=Cc1ccc(O)cc1)c1cc(O)ccc1O,0,
RGM079.mol,O=C(CCc1ccc(O)cc1F)c1cc(O)ccc1O,0,
Genistein.mol,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,0,
