molecule_id,solubility_logS_esol_proxy,solubility_class,caco_permeability_proxy,plasma_protein_binding_proxy,lipophilicity_logP,metabolic_stability_proxy,oral_absorption_proxy,evidence_level,note
REV-DE_NOVO-0,-4.469,MODERATE,HIGH,MODERATE,3.83,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-52,-4.668,MODERATE,LOW,MODERATE,3.01,LOW,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-53,-3.828,HIGH,HIGH,MODERATE,3.08,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-54,-3.121,HIGH,MODERATE,LOW,1.11,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-55,-1.579,HIGH,HIGH,LOW,1.24,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-56,-3.651,HIGH,HIGH,MODERATE,2.9,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-57,-3.454,HIGH,MODERATE,LOW,1.84,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-58,-4.871,MODERATE,MODERATE,MODERATE,3.38,LOW,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-59,-3.708,HIGH,MODERATE,MODERATE,2.82,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-60,-1.746,HIGH,LOW,LOW,-0.71,LOW,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-61,-6.502,LOW,HIGH,HIGH,6.56,HIGH,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-62,-1.321,HIGH,HIGH,LOW,0.61,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-63,-2.82,HIGH,HIGH,LOW,1.88,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-64,-2.409,HIGH,MODERATE,LOW,-0.05,LOW,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-65,-2.296,HIGH,HIGH,LOW,1.47,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-66,-2.691,HIGH,HIGH,LOW,1.93,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-67,-4.671,MODERATE,HIGH,HIGH,4.44,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-68,-4.394,MODERATE,HIGH,HIGH,4.1,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-69,-2.775,HIGH,HIGH,LOW,1.8,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-70,-3.624,HIGH,HIGH,MODERATE,2.73,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-71,-4.297,MODERATE,HIGH,HIGH,4.02,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-72,-5.076,MODERATE,HIGH,HIGH,5.18,HIGH,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-73,-4.489,MODERATE,HIGH,MODERATE,3.02,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-74,-2.846,HIGH,HIGH,LOW,1.56,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-75,0.283,HIGH,MODERATE,LOW,-2.25,HIGH,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-76,-1.888,HIGH,HIGH,LOW,0.86,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-77,-2.505,HIGH,HIGH,LOW,1.78,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-78,-1.454,HIGH,HIGH,LOW,0.48,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-79,-6.996,LOW,HIGH,HIGH,6.7,MODERATE,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-80,-3.18,HIGH,HIGH,MODERATE,3.18,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-81,-3.344,HIGH,HIGH,LOW,2.48,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-82,-4.089,MODERATE,HIGH,MODERATE,3.27,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-83,-4.05,MODERATE,MODERATE,MODERATE,2.66,MODERATE,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-84,-3.048,HIGH,HIGH,LOW,2.41,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-85,-3.205,HIGH,HIGH,MODERATE,3.35,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-86,-3.716,HIGH,HIGH,MODERATE,3.44,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-87,-3.169,HIGH,HIGH,MODERATE,3.15,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-88,-3.206,HIGH,HIGH,MODERATE,2.92,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-89,-4.091,MODERATE,HIGH,MODERATE,3.62,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-90,-2.311,HIGH,HIGH,LOW,0.97,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-91,-5.147,MODERATE,HIGH,HIGH,5.32,HIGH,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-92,-4.293,MODERATE,MODERATE,MODERATE,2.59,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-93,-0.798,HIGH,MODERATE,LOW,-0.5,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-94,-1.915,HIGH,MODERATE,LOW,0.61,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-95,-3.678,HIGH,HIGH,MODERATE,3.08,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-96,-1.188,HIGH,LOW,LOW,-0.62,LOW,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-97,-1.817,HIGH,HIGH,LOW,1.2,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-98,-5.42,MODERATE,MODERATE,HIGH,4.47,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-99,-8.0,LOW,LOW,HIGH,5.77,LOW,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-100,-1.142,HIGH,HIGH,LOW,0.42,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-101,-4.342,MODERATE,HIGH,HIGH,4.13,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-102,-2.143,HIGH,HIGH,LOW,1.8,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-103,-4.273,MODERATE,HIGH,MODERATE,3.5,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-104,-13.959,LOW,HIGH,HIGH,14.31,LOW,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-105,-4.334,MODERATE,HIGH,MODERATE,3.28,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-106,-3.099,HIGH,MODERATE,LOW,1.8,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-107,-4.502,MODERATE,HIGH,HIGH,4.44,MODERATE,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-108,-3.022,HIGH,HIGH,MODERATE,2.68,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-109,-3.18,HIGH,HIGH,MODERATE,2.78,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-110,-2.561,HIGH,HIGH,LOW,1.5,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-111,-13.367,LOW,HIGH,HIGH,13.52,LOW,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-112,-6.684,LOW,HIGH,HIGH,5.81,MODERATE,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-113,-3.26,HIGH,HIGH,MODERATE,2.65,LOW,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-114,-0.75,HIGH,HIGH,LOW,-0.26,HIGH,MODERATE,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-115,-3.605,HIGH,HIGH,LOW,2.42,HIGH,HIGH,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
REV-DE_NOVO-116,-7.478,LOW,HIGH,HIGH,8.24,HIGH,LOW,COMPUTATIONALLY_SUPPORTED_PROXY,Physchem proxies (ESOL / TPSA / logP). Not experimental ADME; no renal/hepatic PK measured.
